date,ADI,AMAT,AMD,ASML,AVGO,INTC,KLAC,LRCX,MCHP,MPWR,MRVL,MU,NVDA,NXPI,ON,QCOM,QQQ,QRVO,SMH,SOXX,SPY,SWKS,TER,TXN
2025-01-02,207.27210998535156,162.04379272460938,120.62999725341797,692.8764038085938,229.42124938964844,20.219999313354492,630.405517578125,71.69671630859375,54.816932678222656,588.1522216796875,113.06787872314453,87.0081787109375,138.2646942138672,201.3619384765625,61.709999084472656,149.31739807128906,507.0160827636719,69.76000213623047,244.03067016601562,215.16839599609375,576.2802734375,83.87124633789062,125.95854949951172,179.8969268798828
2025-01-03,211.2145233154297,168.16481018066406,125.37000274658203,706.666259765625,229.9849853515625,20.559999465942383,650.5964965820312,74.33931732177734,55.57827377319336,613.5403442382812,117.6678695678711,89.53881072998047,144.4226837158203,203.9496307373047,63.90999984741211,153.38949584960938,515.3135375976562,70.62999725341797,251.09869384765625,220.77536010742188,583.4857788085938,84.25054931640625,129.97935485839844,183.32261657714844
2025-01-06,213.79379272460938,175.5021209716797,129.5500030517578,760.2330322265625,233.80239868164062,19.8700008392334,683.5614624023438,77.17987060546875,56.17578887939453,624.6557006835938,118.49427032470703,98.89421844482422,149.38104248046875,208.39266967773438,64.51000213623047,155.35269165039062,521.2359008789062,72.13999938964844,259.42279052734375,227.1663055419922,586.8470458984375,86.20391082763672,139.33468627929688,184.9296112060547
2025-01-07,211.7048797607422,175.8383331298828,127.33000183105469,749.4207763671875,226.1180877685547,20.010000228881836,682.5712280273438,76.7245864868164,55.385528564453125,618.4892578125,115.726318359375,101.5344467163086,140.09408569335938,207.58216857910156,62.72999954223633,156.0038604736328,511.9349060058594,73.62999725341797,253.25196838378906,224.070068359375,580.2133178710938,87.86331939697266,138.16029357910156,184.95849609375
2025-01-08,216.18670654296875,175.01756286621094,121.83999633789062,735.9672241210938,226.78070068359375,19.8799991607666,679.5015258789062,76.24951171875,54.33506774902344,614.619140625,117.7176513671875,99.04365539550781,140.06411743164062,204.78941345214844,58.310001373291016,154.60435485839844,512.0243530273438,73.08000183105469,251.4475860595703,221.8372039794922,581.0609741210938,87.8348617553711,136.4982147216797,184.4292449951172
2025-01-10,208.27239990234375,169.73709106445312,116.04000091552734,731.0508422851562,221.83587646484375,19.149999618530273,676.3922119140625,73.884033203125,53.18822479248047,585.1926879882812,113.88238525390625,98.97390747070312,135.86549377441406,201.88922119140625,53.939998626708984,152.56344604492188,503.9952087402344,71.69000244140625,246.4132537841797,216.5378875732422,572.189697265625,85.53065490722656,133.5323944091797,182.97621154785156
2025-01-13,208.84124755859375,168.9558868408203,117.31999969482422,719.57568359375,222.8050537109375,19.200000762939453,684.2448120117188,73.68608856201172,53.88211441040039,581.3523559570312,114.70921325683594,94.70967864990234,133.18637084960938,201.96734619140625,55.869998931884766,152.70921325683594,502.3754577636719,71.91000366210938,243.88113403320312,215.87298583984375,573.0768432617188,85.66342163085938,132.5869140625,183.8807373046875
2025-01-14,210.50840759277344,171.7147979736328,116.08999633789062,728.3600463867188,222.2215576171875,19.200000762939453,694.41455078125,74.28982543945312,54.816932678222656,583.8367309570312,114.7590103149414,97.001220703125,131.7168426513672,205.67803955078125,55.18000030517578,155.04168701171875,501.8985290527344,72.81999969482422,244.6786651611328,217.29208374023438,573.8652954101562,86.82974243164062,133.5423126220703,186.1998291015625
2025-01-15,214.00955200195312,176.39208984375,119.95999908447266,718.4776000976562,225.48516845703125,19.719999313354492,709.2581787109375,75.36864471435547,54.93257522583008,596.2586059570312,115.55595397949219,102.80973815917969,136.1953887939453,208.5391387939453,55.22999954223633,159.78440856933594,513.4453125,74.16000366210938,250.43077087402344,221.5097198486328,584.3038940429688,87.50298309326172,134.28875732421875,190.0585479736328
2025-01-16,210.8712921142578,184.4018096923828,118.44000244140625,742.199462890625,226.87962341308594,19.670000076293945,739.9655151367188,78.40714263916016,54.151954650878906,590.5672607421875,117.12989807128906,102.2219009399414,133.5262451171875,205.80494689941406,53.5099983215332,156.8882293701172,509.84814453125,73.58999633789062,251.5074005126953,221.8372039794922,583.1802368164062,86.70647430419922,136.91624450683594,180.30108642578125
2025-01-17,214.931396484375,189.9097442626953,121.45999908447266,748.1842651367188,234.821044921875,21.489999771118164,750.0758056640625,79.47606658935547,55.867393493652344,619.4295654296875,124.28241729736328,105.36029052734375,137.66490173339844,210.29681396484375,54.630001068115234,159.93019104003906,518.45361328125,84.20999908447266,257.44891357421875,227.989990234375,589.0353393554688,88.79258728027344,137.74227905273438,185.1605682373047
2025-01-21,217.17723083496094,190.72061157226562,122.27999877929688,754.7824096679688,237.6593780517578,21.770000457763672,759.7504272460938,80.66374969482422,56.38780212402344,631.9701538085938,123.30616760253906,108.97691345214844,140.78387451171875,209.82809448242188,55.61000061035156,162.56396484375,521.4943237304688,87.58000183105469,261.5760803222656,230.67935180664062,594.4270629882812,89.09602355957031,131.6712646484375,187.86456298828125
2025-01-22,219.75648498535156,193.33119201660156,123.75,758.4525146484375,238.2527618408203,21.860000610351562,764.3748168945312,82.39579010009766,56.35889434814453,682.380126953125,124.73070526123047,108.82748413085938,147.0218505859375,211.00962829589844,56.029998779296875,165.45037841796875,528.1619873046875,87.08999633789062,266.3412780761719,234.0137481689453,597.7685546875,87.23748016357422,134.1593780517578,189.6158905029297
2025-01-23,223.94410705566406,188.57479858398438,123.04000091552734,738.2029418945312,237.6297149658203,21.56999969482422,753.5218505859375,80.39652252197266,57.409358978271484,691.6544189453125,125.57743835449219,104.45365142822266,147.17178344726562,214.71055603027344,56.2599983215332,169.4544677734375,529.2848510742188,90.56999969482422,266.0222473144531,233.57708740234375,601.0313110351562,87.73056030273438,131.20350646972656,193.04161071777344
2025-01-24,213.17593383789062,184.66880798339844,122.83999633789062,724.3636474609375,242.00096130371094,20.829999923706055,742.5005493164062,78.8624267578125,54.34469985961914,671.5023193359375,123.54524230957031,102.80973815917969,142.57327270507812,208.41217041015625,54.5,167.26776123046875,526.2938842773438,88.94000244140625,260.71875,228.88311767578125,599.2767333984375,86.4788818359375,129.30258178710938,178.52088928222656
2025-01-27,211.26356506347656,172.62457275390625,115.01000213623047,682.7169799804688,199.90049743652344,20.290000915527344,695.8504028320312,74.85397338867188,55.154232025146484,594.6551513671875,99.9459457397461,90.77424621582031,118.38121032714844,210.0233917236328,53.939998626708984,166.3639373779297,510.9710998535156,87.62999725341797,235.07852172851562,210.93092346191406,590.7997436523438,84.95223236083984,119.69843292236328,179.9739227294922
2025-01-28,205.4774169921875,170.92372131347656,114.16999816894531,675.990234375,205.07281494140625,19.799999237060547,696.0582275390625,73.74546813964844,54.23869323730469,611.2637939453125,103.48234558105469,87.9247817993164,128.94775390625,208.41217041015625,53.869998931884766,166.72352600097656,518.5230712890625,85.77999877929688,239.70413208007812,211.87368774414062,595.8760986328125,85.16083526611328,121.37045288085938,173.7576446533203
2025-01-29,205.85987854003906,173.32662963867188,117.3499984741211,704.9747924804688,204.073974609375,19.75,706.0101928710938,74.37890625,53.99775695800781,612.441650390625,106.38121032714844,88.6819839477539,123.65947723388672,208.00205993652344,53.77000045776367,166.87901306152344,517.5492553710938,86.02999877929688,238.7869873046875,212.7469940185547,593.204833984375,85.49273681640625,121.46997833251953,173.4689483642578
2025-01-30,208.30181884765625,179.69488525390625,118.86000061035156,729.052490234375,213.2812957763672,20.010000228881836,735.1826171875,79.90164184570312,53.1593132019043,630.2777099609375,109.90766143798828,92.15911865234375,124.60917663574219,206.42013549804688,53.27000045776367,167.09283447265625,519.75537109375,83.72000122070312,244.4095001220703,217.07379150390625,596.3886108398438,84.77207946777344,114.5331039428711,178.2803192138672
2025-01-31,207.8016815185547,178.34011840820312,115.94999694824219,731.3475341796875,218.8294219970703,19.43000030517578,731.0335083007812,80.21836853027344,52.33050537109375,630.861572265625,112.42797088623047,90.90376281738281,120.03067016601562,203.6469268798828,52.34000015258789,168.06468200683594,519.0,82.9800033569336,242.8643035888672,216.46841430664062,593.2146606445312,84.16520690917969,115.23973083496094,178.95889282226562
2025-02-03,201.2799835205078,176.8074188232422,114.2699966430664,723.1864013671875,215.32843017578125,19.3799991607666,732.9843139648438,79.36719512939453,50.36449432373047,622.3593139648438,113.12528228759766,89.58863067626953,116.62179565429688,199.91671752929688,50.2599983215332,165.45037841796875,514.846435546875,81.66000366210938,238.03932189941406,212.56834411621094,589.2225341796875,80.8084487915039,110.56207275390625,175.40122985839844
2025-02-04,202.03512573242188,176.57008361816406,119.5,723.5325927734375,219.97659301757812,19.290000915527344,742.00537109375,79.09007263183594,50.69216537475586,649.5884399414062,109.27011108398438,90.32591247558594,118.61113739013672,197.64149475097656,50.58000183105469,168.1715850830078,521.1663208007812,81.88999938964844,240.72097778320312,214.7515869140625,593.1752319335938,81.89892578125,111.1393051147461,175.03286743164062
2025-02-05,205.7519989013672,178.6565704345703,112.01000213623047,734.5922241210938,229.4410400390625,19.649999618530273,751.7394409179688,81.0992431640625,51.55952453613281,647.1931762695312,116.01419067382812,93.25506591796875,124.78910827636719,208.22665405273438,51.720001220703125,170.91224670410156,523.5313720703125,82.58999633789062,246.37338256835938,218.90968322753906,595.5803833007812,82.57217407226562,112.07484436035156,176.0313262939453
2025-02-06,203.8200225830078,180.76283264160156,110.16000366210938,731.1694946289062,228.80810546875,19.3799991607666,754.3833618164062,81.9801025390625,51.18367004394531,654.1514282226562,118.78353881835938,94.19161224365234,128.6378631591797,211.7224884033203,52.439998626708984,164.55625915527344,526.2640380859375,78.88999938964844,247.5796356201172,218.62188720703125,597.650390625,62.20412063598633,113.52790832519531,177.6696014404297
2025-02-07,201.25057983398438,177.99403381347656,107.55999755859375,719.8626708984375,222.3896942138672,19.100000381469727,740.4012451171875,81.48523712158203,50.00791931152344,712.895263671875,110.19654846191406,91.95986938476562,129.79745483398438,207.92393493652344,51.25,163.2345428466797,519.6260986328125,77.02999877929688,244.24002075195312,215.21800231933594,592.1797485351562,62.289466857910156,112.69190216064453,174.489990234375
2025-02-10,200.90731811523438,181.61326599121094,110.4800033569336,736.0662231445312,232.447509765625,19.770000457763672,744.12451171875,82.8708724975586,50.162113189697266,698.1573486328125,112.36820983886719,95.57647705078125,133.5262451171875,205.11163330078125,47.040000915527344,166.53887939453125,525.916259765625,77.26000213623047,248.84568786621094,218.02645874023438,596.2012939453125,61.29381561279297,113.51795196533203,174.79051208496094
2025-02-11,199.53433227539062,181.1583709716797,111.0999984741211,746.4452514648438,232.447509765625,20.969999313354492,751.214599609375,82.40570068359375,50.67289352416992,691.8920288085938,108.7022933959961,93.7332992553711,132.75650024414062,206.01002502441406,47.93000030517578,167.15115356445312,524.6641845703125,76.66000366210938,249.09490966796875,218.22491455078125,596.65478515625,61.853271484375,112.18431854248047,173.76295471191406
2025-02-12,201.17210388183594,178.87411499023438,111.72000122070312,749.6076049804688,233.74307250976562,22.479999542236328,743.2233276367188,80.73303985595703,51.89682388305664,692.317626953125,105.01644897460938,91.34214782714844,131.0970458984375,214.62265014648438,50.060001373291016,165.49896240234375,524.9722290039062,77.01000213623047,247.7391357421875,218.46310424804688,594.732666015625,62.763580322265625,111.00992584228516,174.48031616210938
2025-02-13,205.30087280273438,182.21644592285156,111.80999755859375,770.2469482421875,233.19912719726562,24.1299991607666,756.8193359375,82.44528198242188,52.291954040527344,692.8421630859375,103.10380554199219,95.30747985839844,135.24566650390625,214.42735290527344,50.91999816894531,167.306640625,532.5244140625,77.48999786376953,251.1385498046875,221.1425323486328,601.0115966796875,62.75409698486328,112.30374908447266,175.26553344726562
2025-02-14,210.46920776367188,167.31439208984375,113.0999984741211,745.0277099609375,230.4695587158203,23.600000381469727,743.4114990234375,81.90092468261719,53.737548828125,677.9359741210938,106.10227966308594,99.15325164794922,138.8045196533203,218.87039184570312,51.83000183105469,167.38438415527344,534.7601928710938,76.16000366210938,251.7965087890625,221.3708038330078,600.98193359375,62.517032623291016,112.831787109375,177.42726135253906
2025-02-18,215.97097778320312,170.0831756591797,114.27999877929688,737.7613525390625,226.00929260253906,27.389999389648438,750.84814453125,85.6916275024414,55.761383056640625,683.71630859375,106.8792953491211,106.3964614868164,139.35433959960938,223.4794158935547,51.95000076293945,168.75473022460938,535.9725341796875,77.95999908447266,255.4252166748047,225.0326690673828,602.7463989257812,63.55060577392578,114.655029296875,180.7522735595703
2025-02-19,236.99728393554688,172.12025451660156,114.69000244140625,738.3363647460938,226.2071075439453,25.719999313354492,767.1870727539062,86.76053619384766,61.2835578918457,685.4385375976562,110.61493682861328,103.97541046142578,139.1844024658203,239.8063201904297,55.52000045776367,170.29026794433594,536.12158203125,78.88999938964844,256.541748046875,228.77395629882812,604.1658935546875,64.11956024169922,115.47200775146484,190.31044006347656
2025-02-20,239.11561584472656,174.44940185546875,114.16999816894531,736.6411743164062,224.2390594482422,26.09000015258789,770.0390014648438,88.1065902709961,61.967803955078125,682.7660522460938,108.29386138916016,102.79975891113281,140.06411743164062,240.0797576904297,55.7400016784668,168.81304931640625,533.8460083007812,77.0999984741211,257.00030517578125,229.3098602294922,601.65234375,63.83507537841797,118.11222839355469,197.71656799316406
2025-02-21,234.30035400390625,170.4551239013672,110.83999633789062,730.812255859375,216.24818420410156,24.8700008392334,746.936767578125,85.13738250732422,58.854957580566406,654.3295288085938,103.41261291503906,98.47576904296875,134.38595581054688,230.95932006835938,54.04999923706055,160.77569580078125,522.7662353515625,76.06999969482422,249.2145538330078,222.2738494873047,591.3616333007812,63.73077392578125,115.48197174072266,195.8165740966797
2025-02-24,232.41738891601562,167.07537841796875,108.11000061035156,729.5730590820312,205.6365509033203,24.270000457763672,732.0198974609375,82.48486328125,59.06371307373047,646.0746459960938,97.53519439697266,95.05840301513672,130.23733520507812,227.66854858398438,53.400001525878906,156.56753540039062,516.5953369140625,75.2699966430664,242.6649169921875,217.05392456054688,588.6705932617188,63.74993896484375,113.16057586669922,194.59512329101562
2025-02-25,230.76002502441406,164.07223510742188,103.95999908447266,723.8531494140625,200.3059539794922,22.989999771118164,719.5147094726562,79.4661636352539,58.422874450683594,644.669189453125,92.64398956298828,92.87646484375,126.5885238647461,223.18646240234375,51.220001220703125,156.6841583251953,510.0865783691406,75.12000274658203,237.51095581054688,212.57827758789062,585.7431030273438,63.3762321472168,110.93880462646484,193.85838317871094
2025-02-26,229.2202911376953,167.01588439941406,104.73999786376953,740.4478759765625,210.59127807617188,23.520000457763672,732.9627685546875,80.4657974243164,58.03449249267578,664.722412109375,94.53672790527344,97.34992980957031,131.23699951171875,223.98721313476562,50.54999923706055,157.53939819335938,511.3187561035156,74.54000091552734,243.06369018554688,216.2798614501953,586.0386962890625,63.9894905090332,114.38603210449219,192.17166137695312
2025-02-27,219.5309295654297,155.2511444091797,99.51000213623047,691.6450805664062,195.61827087402344,23.09000015258789,693.8988037109375,75.38843536376953,55.46143341064453,603.1574096679688,87.31446838378906,91.48162841796875,120.11064910888672,211.77130126953125,47.380001068115234,150.0948944091797,497.1187744140625,70.95999908447266,228.08029174804688,203.6865234375,576.6843872070312,61.44064712524414,108.40818786621094,185.44410705566406
2025-02-28,225.62107849121094,156.66845703125,99.86000061035156,702.9263305664062,197.23028564453125,23.729999542236328,703.5060424804688,75.95259094238281,57.15091323852539,604.7708129882812,91.46852111816406,93.28495788574219,124.87907409667969,210.5214080810547,47.04999923706055,152.7480926513672,504.96905517578125,72.69000244140625,232.04795837402344,206.931640625,585.6838989257812,63.874507904052734,109.45431518554688,189.99053955078125
2025-03-03,224.12062072753906,150.78114318847656,98.2300033569336,693.786376953125,185.30332946777344,22.739999771118164,685.94921875,75.00244140625,56.267337799072266,573.0084228515625,85.5014419555664,90.20634460449219,114.02263641357422,211.43930053710938,44.90999984741211,149.29795837402344,493.9190979003906,69.62000274658203,222.3182373046875,199.6177520751953,575.4227905273438,62.81089401245117,105.38937377929688,188.43951416015625
2025-03-04,222.7810516357422,151.51455688476562,100.75,702.0737915039062,185.41209411621094,21.329999923706055,693.7401123046875,75.6556625366211,56.451820373535156,582.1442260742188,87.99185943603516,90.8639144897461,115.95201110839844,206.195556640625,44.4900016784668,150.11436462402344,492.4284973144531,69.2699966430664,224.53134155273438,200.72923278808594,568.6116333007812,63.26124572753906,106.83403015136719,188.875732421875
2025-03-05,226.0216064453125,153.94285583496094,101.66999816894531,733.3301391601562,189.46688842773438,20.809999465942383,710.423583984375,78.47501373291016,57.908260345458984,605.9387817382812,89.7949447631836,93.99234008789062,117.26158142089844,211.67369079589844,46.4900016784668,154.0309600830078,498.84783935546875,71.13999938964844,228.6884002685547,205.05601501464844,574.7229614257812,64.57401275634766,109.80302429199219,189.58340454101562
2025-03-06,219.42230224609375,150.19635009765625,98.8499984741211,708.6362915039062,177.47067260742188,20.75,686.9218139648438,75.91378021240234,56.568336486816406,559.9235229492188,72.00331115722656,88.94102478027344,110.53378295898438,209.42771911621094,43.880001068115234,152.4675750732422,485.1248474121094,71.19999694824219,219.09825134277344,196.5314483642578,564.52099609375,64.13322448730469,105.00082397460938,183.54408264160156
2025-03-07,222.46585083007812,154.29965209960938,100.30999755859375,725.8654174804688,192.80960083007812,20.639999389648438,705.9375610351562,78.435302734375,58.03449249267578,590.6959228515625,70.56881713867188,92.61741638183594,112.6530990600586,217.32752990722656,45.400001525878906,157.52899169921875,488.6922302246094,76.80000305175781,224.39178466796875,202.29721069335938,567.6849975585938,69.57587432861328,108.1391830444336,184.68797302246094
2025-03-10,213.01011657714844,148.6601104736328,96.62999725341797,677.1817016601562,182.41549682617188,19.93000030517578,673.2554931640625,73.27312469482422,51.89799880981445,575.6511840820312,65.4186019897461,86.75910186767578,106.94496154785156,203.93008422851562,44.15999984741211,151.43185424804688,469.7523193359375,74.08000183105469,213.86453247070312,192.93902587890625,552.564453125,69.0392837524414,104.58236694335938,180.78134155273438
2025-03-11,205.93801879882812,145.6867218017578,96.76000213623047,684.2200927734375,187.99330139160156,19.780000686645508,659.2217407226562,72.8263931274414,50.72313690185547,564.5260009765625,66.90291595458984,88.72183990478516,108.72437286376953,200.96156311035156,42.86000061035156,149.5948944091797,468.62939453125,71.05999755859375,213.5554962158203,190.6565399169922,547.9708862304688,65.37890625,86.74845886230469,171.9114227294922
2025-03-12,203.51498413085938,147.7383575439453,100.79000091552734,697.2659301757812,192.087646484375,20.68000030517578,675.2701416015625,76.03290557861328,50.39300537109375,577.0369873046875,69.5826187133789,95.28755950927734,115.71273040771484,199.64329528808594,42.849998474121094,149.30177307128906,473.9158935546875,69.31999969482422,219.83596801757812,194.5863800048828,550.8788452148438,65.01477813720703,86.41968536376953,170.3216094970703
2025-03-13,200.73736572265625,148.62045288085938,98.11000061035156,688.5620727539062,189.24928283691406,23.700000762939453,676.3717651367188,74.71257781982422,50.383296966552734,565.3772583007812,68.49678039550781,94.53034973144531,115.55277252197266,196.29396057128906,42.150001525878906,148.46145629882812,465.38995361328125,69.12000274658203,218.8689727783203,193.6138458251953,543.5353393554688,64.38236236572266,85.01490020751953,168.28591918945312
2025-03-14,205.61297607421875,154.27984619140625,100.97000122070312,707.8036499023438,193.38319396972656,24.049999237060547,707.6348266601562,78.11763000488281,51.94654846191406,599.871337890625,68.47686004638672,100.41857147216797,121.6413345336914,201.31309509277344,43.189998626708984,152.99522399902344,476.6386413574219,71.38999938964844,225.86720275878906,199.58798217773438,554.7625122070312,66.50000762939453,86.41968536376953,171.01959228515625
2025-03-17,208.4989471435547,154.0816192626953,104.58999633789062,723.991943359375,192.3546600341797,25.690000534057617,712.8849487304688,77.74039459228516,53.65544509887695,634.0982666015625,70.13050842285156,102.73002624511719,119.50183868408203,204.8968048095703,44.04999923706055,154.33384704589844,479.7290344238281,73.0199966430664,228.24978637695312,202.88272094726562,559.0403442382812,67.63070678710938,89.83702850341797,174.48031616210938
2025-03-18,206.01683044433594,152.14891052246094,103.51000213623047,724.7650756835938,186.58897399902344,25.920000076293945,704.6572875976562,76.79730224609375,52.626224517822266,615.935546875,68.01862335205078,101.34514617919922,115.4028091430664,202.23101806640625,43.41999816894531,152.71185302734375,471.5508728027344,72.0199966430664,224.72076416015625,200.19088745117188,552.998046875,67.91815948486328,88.54183197021484,173.9568328857422
2025-03-19,206.8146514892578,153.09046936035156,106.2300033569336,728.5321044921875,193.41287231445312,24.1200008392334,714.195068359375,77.3631591796875,52.98548126220703,623.4085693359375,69.54275512695312,101.68389129638672,117.4923095703125,203.50079345703125,43.58000183105469,154.63674926757812,477.8608703613281,72.18000030517578,226.70458984375,201.8204803466797,559.0206298828125,67.12284851074219,88.18315124511719,176.17674255371094
